Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Seward (AK) 6,oil,oil,PP,US,2.5,,,,,,2010,,, ,60.130922,-149.43501,,N2,
Blue Lake Hydro 1,hydro,Reservoir,PP,US,5.3,,,,,,2014,,, ,57.0516,-135.2297,,3,
Blue Lake Hydro 2,hydro,Reservoir,PP,US,5.3,,,,,,2014,,, ,57.0516,-135.2297,,4,
Blue Lake Hydro 3,hydro,Reservoir,PP,US,5.3,,,,,,2014,,, ,57.0516,-135.2297,,5,
Wrangell 1,oil,oil,PP,US,2,,,,,,2000,,, ,56.460976,-132.379439,,11,
Wrangell 2,oil,oil,PP,US,2,,,,,,2000,,, ,56.460976,-132.379439,,12,
Wrangell 3,oil,oil,PP,US,2,,,,,,2002,,, ,56.460976,-132.379439,,13,
Wrangell 4,oil,oil,PP,US,2.5,,,,,,1987,,, ,56.460976,-132.379439,,9,
Beluga 1,OCGT,OCGT,PP,US,16,,,,,,1968,,, ,61.1861,-151.0356,,1,
Beluga 2,OCGT,OCGT,PP,US,16,,,,,,1968,,, ,61.1861,-151.0356,,2,
Beluga 3,OCGT,OCGT,PP,US,59.1,,,,,,1972,,, ,61.1861,-151.0356,,3,
Beluga 4,OCGT,OCGT,PP,US,68.3,,,,,,1975,,, ,61.1861,-151.0356,,5,
Beluga 5,OCGT,OCGT,PP,US,76.5,,,,,,1976,,, ,61.1861,-151.0356,,6,
Beluga 6,OCGT,OCGT,PP,US,76.5,,,,,,1978,,, ,61.1861,-151.0356,,7,
Frederickson 1,OCGT,OCGT,PP,US,88.9,,,,,,1981,,, ,47.079722,-122.365,,1,
Frederickson 2,OCGT,OCGT,PP,US,88.9,,,,,,1981,,, ,47.079722,-122.365,,2,
South Consolidated 1,hydro,Reservoir,PP,US,1.4,,,,,,1981,,, ,33.466477,-111.781064,,SC1,
J S Eastwood 1,hydro,Reservoir,PP,US,199.8,,,,,,1987,,, ,37.147926,-119.2567,,1,
Holcomb 1,coal,coal,PP,US,348.7,,,,,,1983,,, ,37.9308,-100.9725,,1,
Dillingham 1,oil,oil,PP,US,1.1,,,,,,1988,,, ,59.042914,-158.468597,,10,
Dillingham 2,oil,oil,PP,US,1,,,,,,2001,,, ,59.042914,-158.468597,,11,
Dillingham 3,oil,oil,PP,US,1,,,,,,2006,,, ,59.042914,-158.468597,,12,
Dillingham 4,oil,oil,PP,US,1,,,,,,2006,,, ,59.042914,-158.468597,,13,
Dillingham 5,oil,oil,PP,US,1,,,,,,2008,,, ,59.042914,-158.468597,,14,
Dillingham 6,oil,oil,PP,US,1,,,,,,2008,,, ,59.042914,-158.468597,,15,
Dillingham 7,oil,oil,PP,US,0.5,,,,,,2009,,, ,59.042914,-158.468597,,16,
Dillingham 8,oil,oil,PP,US,2.2,,,,,,2019,,, ,59.042914,-158.468597,,17,
Dillingham 9,oil,oil,PP,US,2.2,,,,,,2019,,, ,59.042914,-158.468597,,18,
Cholla 1,coal,coal,PP,US,113.6,,,,,,1962,,, ,34.9394,-110.3033,,1,
Cholla 2,coal,coal,PP,US,312.3,,,,,,1980,,, ,34.9394,-110.3033,,3,
Douglas 1,oil,oil,PP,US,26.1,,,,,,1972,,, ,31.364122,-109.5538,,1,
Ocotillo 1,OCGT,OCGT,PP,US,53.1,,,,,,1972,,, ,33.4225,-111.9122,,GT1,
Ocotillo 2,OCGT,OCGT,PP,US,53.1,,,,,,1973,,, ,33.4225,-111.9122,,GT2,
Ocotillo 3,OCGT,OCGT,PP,US,140,,,,,,2019,,, ,33.4225,-111.9122,,GT3,
Ocotillo 4,OCGT,OCGT,PP,US,140,,,,,,2019,,, ,33.4225,-111.9122,,GT4,
Ocotillo 5,OCGT,OCGT,PP,US,140,,,,,,2019,,, ,33.4225,-111.9122,,GT5,
Ocotillo 6,OCGT,OCGT,PP,US,140,,,,,,2019,,, ,33.4225,-111.9122,,GT6,
Ocotillo 7,OCGT,OCGT,PP,US,140,,,,,,2019,,, ,33.4225,-111.9122,,GT7,
West Phoenix 1,CCGT,CCGT,PP,US,132,,,,,,1976,,, ,33.4417,-112.1583,,1B,
West Phoenix 2,CCGT,CCGT,PP,US,132,,,,,,1976,,, ,33.4417,-112.1583,,2B,
